FireplaceQu,LotShape,LandSlope,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,HeatingQC,KitchenQual,Functional,GarageFinish,GarageQual,GarageCond,PavedDrive,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Longitude,Latitude,Median_n_Closest_SalePrice
3.0,3.0,0.0,6.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,0.0,5.0,5.0,2.0,2008,20,fv,62,7500,pave,lvl,inside,somerst,norm,1fam,1story,2007,2008,gable,cemntbd,cemntbd,stone,210,pconc,glq,902,unf,0,316,1218,gasa,y,sbrkr,1218,0,0,1218,1,0,2,0,2,1,6,0,attchd,2008.0,2,462,168,168,0,0,0,0,no_fence,none,0,4,2008,new,partial,,-93.6440200805664,42.05122375488281,242800.0
2.0,3.0,0.0,7.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,0.0,5.0,5.0,2.0,1712,20,fv,65,8125,no_alley_access,lvl,corner,somerst,norm,1fam,1story,2008,2009,hip,vinylsd,vinylsd,brkface,288,pconc,unf,0,unf,0,1836,1836,gasa,y,sbrkr,1836,0,0,1836,0,0,2,0,3,1,8,1,attchd,2009.0,2,517,0,175,0,0,0,0,no_fence,none,0,10,2009,new,partial,,-93.64375305175781,42.05137634277344,244600.0
3.0,0.0,0.0,6.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,1714,20,fv,68,8736,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2003,2004,gable,vinylsd,wd shng,none,0,pconc,glq,771,alq,360,422,1553,gasa,y,sbrkr,1553,0,0,1553,1,0,2,0,3,1,6,0,attchd,2003.0,2,588,192,88,0,0,0,0,no_fence,none,0,8,2009,wd,normal,,-93.6415023803711,42.05125045776367,241000.0
3.0,3.0,0.0,7.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,2689,20,fv,72,8640,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2006,2006,gable,vinylsd,vinylsd,none,0,pconc,glq,24,unf,0,1254,1278,gasa,y,sbrkr,1278,0,0,1278,0,0,2,0,2,1,5,0,attchd,2006.0,2,584,0,60,0,0,0,0,no_fence,none,0,10,2006,new,partial,,-93.65036010742188,42.05179977416992,268000.0
3.0,3.0,0.0,7.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,2346,20,fv,72,8640,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2007,2007,gable,vinylsd,vinylsd,none,0,pconc,glq,24,unf,0,1314,1338,gasa,y,sbrkr,1338,0,0,1338,0,0,2,0,3,1,6,0,attchd,2007.0,2,598,0,141,0,0,0,0,no_fence,none,0,11,2007,new,partial,,-93.65033721923828,42.05180358886719,268000.0
3.0,3.0,0.0,7.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,2006,20,fv,72,8640,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2007,2008,gable,vinylsd,vinylsd,none,0,pconc,glq,24,unf,0,1339,1363,gasa,y,sbrkr,1372,0,0,1372,0,0,2,0,3,1,6,0,attchd,2008.0,2,588,192,113,0,0,0,0,no_fence,none,0,7,2008,new,partial,,-93.65039825439453,42.0516471862793,269790.0
3.0,3.0,0.0,6.0,4.0,2.0,4.0,0.0,5.0,3.0,0.0,2.0,7.0,0.0,5.0,5.0,2.0,865,20,fv,72,8640,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2007,2008,gable,vinylsd,vinylsd,none,0,pconc,unf,0,unf,0,1372,1372,gasa,y,sbrkr,1372,0,0,1372,0,0,2,0,3,1,6,0,attchd,2008.0,2,529,0,140,0,0,0,0,no_fence,none,0,5,2008,new,partial,250580.0,-93.65036010742188,42.05165100097656,269895.0
3.0,3.0,0.0,6.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,1708,20,fv,72,8640,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2008,2008,hip,vinylsd,vinylsd,none,0,pconc,unf,0,unf,0,1402,1402,gasa,y,sbrkr,1402,0,0,1402,0,0,2,0,3,1,7,0,attchd,2008.0,2,625,205,126,0,0,0,0,no_fence,none,0,5,2009,wd,normal,,-93.65033721923828,42.05165100097656,268895.0
3.0,3.0,0.0,7.0,4.0,2.0,4.0,2.0,5.0,2.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,1218,20,fv,72,8640,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2009,2009,gable,cemntbd,cemntbd,stone,72,pconc,glq,936,unf,0,364,1300,gasa,y,sbrkr,1314,0,0,1314,1,0,2,0,3,1,6,0,attchd,2009.0,2,552,135,112,0,0,0,0,no_fence,none,0,9,2009,new,partial,229456.0,-93.65037536621094,42.0516471862793,269895.0
3.0,0.0,0.0,6.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,3.0,5.0,5.0,2.0,2372,20,fv,73,7321,pave,lvl,inside,somerst,norm,1fam,1story,1999,2000,gable,cemntbd,cemntbd,none,0,pconc,unf,0,unf,0,1339,1339,gasa,y,sbrkr,1358,0,0,1358,0,0,2,0,3,1,5,0,detchd,1999.0,2,625,176,174,0,0,0,0,no_fence,none,0,12,2007,cod,normal,,-93.63993072509766,42.046138763427734,174000.0
2.0,3.0,0.0,7.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,1710,20,fv,75,7500,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2006,2007,gable,vinylsd,vinylsd,stone,238,pconc,glq,24,unf,0,1348,1372,gasa,y,sbrkr,1448,0,0,1448,0,0,2,0,2,1,6,1,attchd,2006.0,2,692,0,140,0,0,0,0,no_fence,none,0,6,2009,wd,normal,,-93.6487808227539,42.051795959472656,258000.0
3.0,0.0,0.0,5.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,0.0,5.0,5.0,2.0,508,20,fv,75,7862,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2009,2009,gable,vinylsd,vinylsd,none,0,pconc,glq,27,unf,0,1191,1218,gasa,y,sbrkr,1218,0,0,1218,0,0,2,0,2,1,4,0,attchd,2009.0,2,676,0,102,0,0,0,0,no_fence,none,0,9,2009,new,partial,208300.0,-93.65043640136719,42.05179214477539,269895.0
3.0,3.0,0.0,6.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,2347,20,fv,75,9000,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2006,2007,gable,vinylsd,vinylsd,none,0,pconc,unf,0,unf,0,1335,1335,gasa,y,sbrkr,1335,0,0,1335,0,0,2,0,3,1,6,0,attchd,2007.0,2,575,0,210,0,0,0,0,no_fence,none,0,6,2007,new,partial,,-93.65042114257812,42.051795959472656,269790.0
3.0,3.0,0.0,7.0,4.0,2.0,4.0,2.0,5.0,0.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,241,20,fv,75,9000,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2008,2008,gable,vinylsd,vinylsd,stone,36,pconc,glq,1078,unf,0,488,1566,gasa,y,sbrkr,1566,0,0,1566,1,0,2,0,3,1,7,0,attchd,2008.0,2,750,144,168,0,0,0,0,no_fence,none,0,4,2010,wd,normal,262500.0,-93.64710235595703,42.05008316040039,207125.0
2.0,3.0,0.0,6.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,1505,20,fv,80,8000,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2002,2002,gable,vinylsd,vinylsd,none,0,pconc,glq,833,unf,0,659,1492,gasa,y,sbrkr,1492,0,0,1492,1,0,2,0,3,1,6,1,attchd,2002.0,2,596,277,137,0,0,0,0,no_fence,none,0,4,2010,wd,normal,,-93.63951873779297,42.048606872558594,185000.0
2.0,3.0,0.0,7.0,4.0,2.0,4.0,2.0,2.0,3.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,825,20,fv,81,11216,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2006,2006,gable,vinylsd,vinylsd,none,0,pconc,unf,0,unf,0,1489,1489,gasa,y,sbrkr,1489,0,0,1489,0,0,2,0,3,1,7,1,attchd,2006.0,2,776,0,140,0,0,0,0,no_fence,none,0,6,2006,new,partial,232600.0,-93.6438980102539,42.05227279663086,245000.0
2.0,3.0,0.0,5.0,4.0,2.0,4.0,0.0,5.0,3.0,0.0,2.0,7.0,0.0,5.0,5.0,2.0,1490,20,fv,84,10440,no_alley_access,lvl,corner,somerst,norm,1fam,1story,2005,2005,gable,vinylsd,vinylsd,none,0,pconc,glq,1414,unf,0,54,1468,gasa,y,sbrkr,1468,0,0,1468,1,0,2,0,2,1,6,1,attchd,2005.0,2,528,0,102,0,0,216,0,no_fence,none,0,5,2010,wd,normal,,-93.64222717285156,42.051429748535156,241000.0
2.0,3.0,0.0,7.0,4.0,0.0,4.0,2.0,5.0,2.0,0.0,0.0,7.0,0.0,5.0,5.0,2.0,2351,20,fv,84,10440,no_alley_access,lvl,corner,somerst,norm,1fam,1story,2007,2007,gable,cemntbd,cemntbd,none,0,pconc,unf,0,unf,0,1574,1574,gasa,y,sbrkr,1584,0,0,1584,0,0,2,0,2,1,6,1,attchd,2007.0,2,594,0,256,0,0,0,0,no_fence,none,0,5,2007,new,partial,,-93.64379119873047,42.05137634277344,244600.0
3.0,3.0,0.0,7.0,4.0,2.0,4.0,2.0,5.0,0.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,48,20,fv,84,11096,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2006,2006,gable,vinylsd,vinylsd,none,0,pconc,glq,24,unf,0,1632,1656,gasa,y,sbrkr,1656,0,0,1656,0,0,2,0,3,1,7,0,attchd,2006.0,3,826,0,146,0,0,0,0,no_fence,none,0,7,2007,wd,normal,249700.0,-93.64397430419922,42.052268981933594,244600.0
2.0,3.0,0.0,8.0,4.0,0.0,4.0,0.0,5.0,2.0,0.0,0.0,7.0,0.0,5.0,5.0,2.0,645,20,fv,85,9187,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2009,2009,gable,cemntbd,cemntbd,stone,162,pconc,glq,1121,unf,0,645,1766,gasa,y,sbrkr,1766,0,0,1766,1,0,2,1,2,1,7,1,attchd,2009.0,3,478,195,130,0,0,0,0,no_fence,none,0,10,2009,new,partial,370878.0,-93.64881134033203,42.05171585083008,250580.0
2.0,3.0,0.0,6.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,0.0,7.0,2.0,5.0,5.0,2.0,1713,20,fv,85,10625,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2006,2007,gable,vinylsd,vinylsd,none,0,pconc,glq,1430,unf,0,222,1652,gasa,y,sbrkr,1662,0,0,1662,1,0,2,0,3,1,8,1,attchd,2006.0,3,711,168,120,0,0,0,0,no_fence,none,0,3,2009,wd,normal,,-93.6408462524414,42.052120208740234,241000.0
2.0,3.0,0.0,7.0,4.0,2.0,4.0,2.0,5.0,0.0,0.0,2.0,7.0,0.0,5.0,5.0,2.0,2007,20,fv,85,10625,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2007,2007,gable,vinylsd,vinylsd,brkface,292,pconc,unf,0,unf,0,1660,1660,gasa,y,sbrkr,1660,0,0,1660,0,0,2,0,3,1,7,1,attchd,2007.0,3,660,133,120,0,0,0,0,no_fence,none,0,6,2008,wd,normal,,-93.64164733886719,42.05217361450195,241000.0
3.0,0.0,0.0,6.0,4.0,2.0,4.0,0.0,5.0,3.0,0.0,2.0,7.0,0.0,5.0,5.0,2.0,1707,20,fv,90,7993,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2008,2009,gable,vinylsd,vinylsd,none,0,pconc,unf,0,unf,0,1436,1436,gasa,y,sbrkr,1436,0,0,1436,0,0,2,0,3,1,6,0,attchd,2008.0,2,529,0,121,0,0,0,0,no_fence,none,0,10,2009,new,partial,,-93.6504135131836,42.05164337158203,269790.0
3.0,3.0,0.0,6.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,1489,20,fv,92,9215,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2009,2010,hip,vinylsd,vinylsd,none,0,pconc,unf,0,unf,0,1218,1218,gasa,y,sbrkr,1218,0,0,1218,0,0,2,0,2,1,4,0,attchd,2009.0,2,676,0,136,0,0,0,0,no_fence,none,0,4,2010,new,partial,,-93.64997863769531,42.05182647705078,262500.0
3.0,3.0,0.0,6.0,4.0,2.0,4.0,2.0,5.0,3.0,0.0,2.0,7.0,0.0,5.0,5.0,2.0,974,20,fv,95,11639,no_alley_access,lvl,corner,somerst,norm,1fam,1story,2007,2008,gable,cemntbd,cemntbd,none,0,pconc,unf,0,unf,0,1428,1428,gasa,y,sbrkr,1428,0,0,1428,0,0,2,0,3,1,6,0,attchd,2007.0,2,480,0,120,0,0,0,0,no_fence,none,0,12,2008,new,partial,182000.0,-93.64825439453125,42.05030822753906,227875.0
2.0,0.0,0.0,7.0,4.0,2.0,4.0,2.0,5.0,0.0,0.0,2.0,7.0,0.0,5.0,5.0,2.0,2352,20,fv,100,11824,no_alley_access,lvl,corner,somerst,norm,1fam,1story,2006,2006,gable,vinylsd,vinylsd,brkface,298,pconc,unf,0,unf,0,1685,1685,gasa,y,sbrkr,1685,0,0,1685,0,0,2,0,2,1,5,1,attchd,2006.0,3,658,112,63,0,0,0,0,no_fence,none,0,4,2007,wd,normal,,-93.64204406738281,42.05226516723633,241000.0
2.0,0.0,0.0,8.0,4.0,2.0,4.0,2.0,5.0,0.0,0.0,2.0,7.0,2.0,5.0,5.0,2.0,1709,20,fv,112,12606,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2007,2008,gable,vinylsd,vinylsd,stone,120,pconc,unf,0,unf,0,1530,1530,gasa,y,sbrkr,1530,0,0,1530,0,0,2,0,3,1,7,1,attchd,2008.0,3,984,212,136,0,0,0,0,no_fence,none,0,5,2009,wd,normal,,-93.64827728271484,42.05040740966797,227875.0
2.0,1.0,0.0,6.0,4.0,0.0,4.0,0.0,5.0,0.0,0.0,2.0,7.0,0.0,5.0,5.0,2.0,413,20,fv,0,4403,no_alley_access,lvl,inside,somerst,norm,1fam,1story,2009,2009,gable,metalsd,metalsd,stone,432,pconc,glq,578,unf,0,892,1470,gasa,y,sbrkr,1478,0,0,1478,1,0,2,1,2,1,7,1,attchd,2009.0,2,484,0,144,0,0,0,0,no_fence,none,0,6,2010,new,partial,222000.0,-93.64688873291016,42.047176361083984,182000.0
3.0,3.0,0.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,2.0,3.0,7.0,3.0,5.0,5.0,2.0,952,20,rh,60,7800,no_alley_access,lvl,corner,sawyerw,norm,1fam,1story,1965,1965,gable,vinylsd,vinylsd,none,0,cblock,blq,641,unf,0,187,828,gasa,y,sbrkr,965,0,0,965,1,0,1,0,3,1,6,0,detchd,1979.0,1,300,421,0,0,0,0,0,mnprv,none,0,7,2006,wd,abnorml,119900.0,-93.68140411376953,42.03523635864258,152000.0
3.0,3.0,0.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,7.0,3.0,5.0,5.0,0.0,342,20,rh,60,8400,no_alley_access,lvl,inside,sawyerw,feedr,1fam,1story,1950,1950,gable,wd sdng,asbshng,none,0,cblock,unf,0,unf,0,721,721,gasa,y,sbrkr,841,0,0,841,0,0,1,0,2,1,4,0,carport,1950.0,1,294,250,0,24,0,0,0,no_fence,none,0,9,2009,wd,normal,82000.0,-93.6790771484375,42.036537170410156,135000.0
3.0,3.0,0.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,7.0,3.0,5.0,5.0,2.0,1461,20,rh,80,11622,no_alley_access,lvl,inside,names,feedr,1fam,1story,1961,1961,gable,vinylsd,vinylsd,none,0,cblock,rec,468,lwq,144,270,882,gasa,y,sbrkr,896,0,0,896,0,0,1,0,2,1,5,0,attchd,1961.0,1,730,140,0,0,0,120,0,mnprv,none,0,6,2010,wd,normal,,-93.61975860595703,42.05301284790039,145000.0
3.0,3.0,0.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,7.0,3.0,5.0,5.0,2.0,1207,20,rh,0,8900,no_alley_access,lvl,inside,sawyerw,norm,1fam,1story,1966,1966,gable,hdboard,hdboard,none,0,cblock,rec,1056,unf,0,0,1056,gasa,y,sbrkr,1056,0,0,1056,1,0,1,0,2,1,5,0,detchd,1966.0,1,384,0,42,0,0,0,0,mnprv,none,0,11,2006,wd,normal,107000.0,-93.68159484863281,42.03579330444336,153337.0
1.0,0.0,0.0,4.0,5.0,3.0,4.0,4.0,5.0,0.0,0.0,3.0,7.0,3.0,5.0,5.0,2.0,848,20,rl,36,15523,no_alley_access,lvl,culdsac,collgcr,norm,1fam,1story,1972,1972,gable,hdboard,plywood,none,0,cblock,blq,460,unf,0,404,864,gasa,y,sbrkr,864,0,0,864,1,0,1,0,3,1,5,1,attchd,1972.0,1,338,0,0,0,0,0,0,no_fence,none,0,8,2009,wd,normal,133500.0,-93.68315887451172,42.02066421508789,189250.0
3.0,0.0,0.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,7.0,3.0,5.0,5.0,2.0,1177,20,rl,37,6951,no_alley_access,lvl,culdsac,mitchel,norm,1fam,1story,1984,1985,gable,hdboard,plywood,none,0,cblock,alq,658,unf,0,218,876,gasa,y,sbrkr,923,0,0,923,1,0,1,0,3,1,5,0,attchd,1984.0,1,264,362,0,0,0,0,0,mnprv,none,0,10,2008,wd,normal,119500.0,-93.6047592163086,41.98893356323242,129950.0
3.0,0.0,0.0,4.0,7.0,2.0,2.0,2.0,5.0,3.0,0.0,3.0,7.0,3.0,5.0,5.0,2.0,1581,20,rl,38,15240,no_alley_access,lvl,fr2,collgcr,norm,1fam,1story,1977,2004,gable,cemntbd,cemntbd,none,0,cblock,glq,198,rec,688,140,1026,gasa,y,sbrkr,1026,0,0,1026,1,0,1,1,3,1,5,0,attchd,1977.0,1,308,316,85,0,0,0,0,mnprv,none,0,6,2010,wd,normal,,-93.68772888183594,42.022186279296875,176432.0
1.0,0.0,0.0,5.0,5.0,3.0,2.0,4.0,5.0,1.0,0.0,3.0,7.0,0.0,5.0,5.0,2.0,1493,20,rl,39,15410,no_alley_access,lvl,culdsac,sawyer,rrne,1fam,1story,1974,2002,hip,plywood,plywood,brkcmn,250,cblock,blq,126,glq,859,223,1208,gasa,y,sbrkr,1494,0,0,1494,1,0,2,0,3,1,7,2,attchd,1974.0,2,461,296,0,186,0,0,0,gdprv,none,0,4,2010,wd,abnorml,,-93.66067504882812,42.034603118896484,149675.0
3.0,0.0,0.0,4.0,3.0,3.0,4.0,2.0,5.0,0.0,4.0,3.0,7.0,2.0,5.0,5.0,2.0,2527,20,rl,39,16300,no_alley_access,lvl,culdsac,collgcr,norm,1fam,1story,1977,1977,gable,hdboard,hdboard,none,0,cblock,rec,60,blq,417,399,876,gasa,y,sbrkr,907,0,0,907,1,0,1,0,3,1,5,0,attchd,1977.0,1,308,0,0,0,0,0,0,mnprv,none,0,1,2007,wd,normal,,-93.6848373413086,42.019718170166016,191000.0
5.0,0.0,0.0,4.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,5.0,5.0,2.0,207,20,rl,40,13673,no_alley_access,lvl,culdsac,sawyer,rrae,1fam,1story,1962,1962,gable,hdboard,hdboard,none,0,cblock,unf,0,unf,0,1140,1140,gasa,y,sbrkr,1696,0,0,1696,0,0,1,1,3,1,8,1,attchd,1962.0,1,349,0,30,0,0,0,0,no_fence,none,0,3,2007,wd,normal,143900.0,-93.6695556640625,42.034725189208984,137000.0
