Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Longitude,Latitude,Median_n_Closest_SalePrice
526,20,fv,62.0,7500,pave,reg,lvl,inside,gtl,somerst,norm,1fam,1story,7,5,2005,2005,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,1257.0,1257.0,gasa,ex,y,sbrkr,1266,0,0,1266,0.0,0.0,2,0,3,1,gd,6,typ,1,ta,attchd,2005.0,unf,2.0,453.0,ta,ta,y,38,144,0,0,0,0,no_fence,none,0,4,2006,wd,normal,176000.0,-93.643859,42.051225,196850.0
2008,20,fv,62.0,7500,pave,reg,lvl,inside,gtl,somerst,norm,1fam,1story,7,5,2007,2008,gable,cemntbd,cemntbd,stone,210.0,gd,ta,pconc,gd,ta,no,glq,902.0,unf,0.0,316.0,1218.0,gasa,ex,y,sbrkr,1218,0,0,1218,1.0,0.0,2,0,2,1,gd,6,typ,0,0,attchd,2008.0,fin,2.0,462.0,ta,ta,y,168,168,0,0,0,0,no_fence,none,0,4,2008,new,partial,,-93.644018,42.051224,187750.0
1712,20,fv,65.0,8125,no_alley_access,reg,lvl,corner,gtl,somerst,norm,1fam,1story,8,5,2008,2009,hip,vinylsd,vinylsd,brkface,288.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,1836.0,1836.0,gasa,ex,y,sbrkr,1836,0,0,1836,0.0,0.0,2,0,3,1,gd,8,typ,1,gd,attchd,2009.0,fin,2.0,517.0,ta,ta,y,0,175,0,0,0,0,no_fence,none,0,10,2009,new,partial,,-93.643752,42.051378,192375.0
1714,20,fv,68.0,8736,no_alley_access,ir1,lvl,inside,gtl,somerst,norm,1fam,1story,7,5,2003,2004,gable,vinylsd,wd shng,none,0.0,gd,ta,pconc,gd,ta,no,glq,771.0,alq,360.0,422.0,1553.0,gasa,ex,y,sbrkr,1553,0,0,1553,1.0,0.0,2,0,3,1,gd,6,typ,0,0,attchd,2003.0,rfn,2.0,588.0,ta,ta,y,192,88,0,0,0,0,no_fence,none,0,8,2009,wd,normal,,-93.641501,42.051251,241000.0
2689,20,fv,72.0,8640,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,8,5,2006,2006,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,no,glq,24.0,unf,0.0,1254.0,1278.0,gasa,ex,y,sbrkr,1278,0,0,1278,0.0,0.0,2,0,2,1,gd,5,typ,0,0,attchd,2006.0,rfn,2.0,584.0,ta,ta,y,0,60,0,0,0,0,no_fence,none,0,10,2006,new,partial,,-93.650361,42.0518,210000.0
2346,20,fv,72.0,8640,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,8,5,2007,2007,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,no,glq,24.0,unf,0.0,1314.0,1338.0,gasa,ex,y,sbrkr,1338,0,0,1338,0.0,0.0,2,0,3,1,gd,6,typ,0,0,attchd,2007.0,rfn,2.0,598.0,ta,ta,y,0,141,0,0,0,0,no_fence,none,0,11,2007,new,partial,,-93.650341,42.051802,210000.0
2006,20,fv,72.0,8640,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,8,5,2007,2008,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,no,glq,24.0,unf,0.0,1339.0,1363.0,gasa,ex,y,sbrkr,1372,0,0,1372,0.0,0.0,2,0,3,1,gd,6,typ,0,0,attchd,2008.0,rfn,2.0,588.0,ta,ta,y,192,113,0,0,0,0,no_fence,none,0,7,2008,new,partial,,-93.650397,42.051646,229456.0
865,20,fv,72.0,8640,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,7,5,2007,2008,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,ex,ta,no,unf,0.0,unf,0.0,1372.0,1372.0,gasa,ex,y,sbrkr,1372,0,0,1372,0.0,0.0,2,0,3,1,gd,6,typ,0,0,attchd,2008.0,fin,2.0,529.0,ta,ta,y,0,140,0,0,0,0,no_fence,none,0,5,2008,new,partial,250580.0,-93.650358,42.05165,222328.0
1708,20,fv,72.0,8640,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,7,5,2008,2008,hip,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,1402.0,1402.0,gasa,ex,y,sbrkr,1402,0,0,1402,0.0,0.0,2,0,3,1,gd,7,typ,0,0,attchd,2008.0,rfn,2.0,625.0,ta,ta,y,205,126,0,0,0,0,no_fence,none,0,5,2009,wd,normal,,-93.650338,42.051652,229456.0
1218,20,fv,72.0,8640,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,8,5,2009,2009,gable,cemntbd,cemntbd,stone,72.0,gd,ta,pconc,gd,ta,mn,glq,936.0,unf,0.0,364.0,1300.0,gasa,ex,y,sbrkr,1314,0,0,1314,1.0,0.0,2,0,3,1,gd,6,typ,0,0,attchd,2009.0,rfn,2.0,552.0,ta,ta,y,135,112,0,0,0,0,no_fence,none,0,9,2009,new,partial,229456.0,-93.650377,42.051648,232890.0
2372,20,fv,73.0,7321,pave,ir1,lvl,inside,gtl,somerst,norm,1fam,1story,7,5,1999,2000,gable,cemntbd,cemntbd,none,0.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,1339.0,1339.0,gasa,ex,y,sbrkr,1358,0,0,1358,0.0,0.0,2,0,3,1,gd,5,typ,0,0,detchd,1999.0,unf,2.0,625.0,ta,ta,y,176,174,0,0,0,0,no_fence,none,0,12,2007,cod,normal,,-93.639931,42.046137,239000.0
1710,20,fv,75.0,7500,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,8,5,2006,2007,gable,vinylsd,vinylsd,stone,238.0,gd,ta,pconc,gd,ta,no,glq,24.0,unf,0.0,1348.0,1372.0,gasa,ex,y,sbrkr,1448,0,0,1448,0.0,0.0,2,0,2,1,gd,6,typ,1,gd,attchd,2006.0,rfn,2.0,692.0,ta,ta,y,0,140,0,0,0,0,no_fence,none,0,6,2009,wd,normal,,-93.648778,42.051795,370878.0
508,20,fv,75.0,7862,no_alley_access,ir1,lvl,inside,gtl,somerst,norm,1fam,1story,6,5,2009,2009,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,no,glq,27.0,unf,0.0,1191.0,1218.0,gasa,ex,y,sbrkr,1218,0,0,1218,0.0,0.0,2,0,2,1,gd,4,typ,0,0,attchd,2009.0,fin,2.0,676.0,ta,ta,y,0,102,0,0,0,0,no_fence,none,0,9,2009,new,partial,208300.0,-93.65044,42.051793,231339.0
2347,20,fv,75.0,9000,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,7,5,2006,2007,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,1335.0,1335.0,gasa,ex,y,sbrkr,1335,0,0,1335,0.0,0.0,2,0,3,1,gd,6,typ,0,0,attchd,2007.0,rfn,2.0,575.0,ta,ta,y,0,210,0,0,0,0,no_fence,none,0,6,2007,new,partial,,-93.65042,42.051795,210000.0
241,20,fv,75.0,9000,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,8,5,2008,2008,gable,vinylsd,vinylsd,stone,36.0,gd,ta,pconc,gd,ta,av,glq,1078.0,unf,0.0,488.0,1566.0,gasa,ex,y,sbrkr,1566,0,0,1566,1.0,0.0,2,0,3,1,gd,7,typ,0,0,attchd,2008.0,rfn,2.0,750.0,ta,ta,y,144,168,0,0,0,0,no_fence,none,0,4,2010,wd,normal,262500.0,-93.647105,42.050084,226000.0
1505,20,fv,80.0,8000,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,7,5,2002,2002,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,no,glq,833.0,unf,0.0,659.0,1492.0,gasa,ex,y,sbrkr,1492,0,0,1492,1.0,0.0,2,0,3,1,gd,6,typ,1,gd,attchd,2002.0,rfn,2.0,596.0,ta,ta,y,277,137,0,0,0,0,no_fence,none,0,4,2010,wd,normal,,-93.639516,42.048606,221000.0
825,20,fv,81.0,11216,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,8,5,2006,2006,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,gd,no,unf,0.0,unf,0.0,1489.0,1489.0,gasa,ex,y,sbrkr,1489,0,0,1489,0.0,0.0,2,0,3,1,gd,7,typ,1,gd,attchd,2006.0,rfn,2.0,776.0,ta,ta,y,0,140,0,0,0,0,no_fence,none,0,6,2006,new,partial,232600.0,-93.643898,42.052272,238787.5
1490,20,fv,84.0,10440,no_alley_access,reg,lvl,corner,gtl,somerst,norm,1fam,1story,6,5,2005,2005,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,ex,ta,no,glq,1414.0,unf,0.0,54.0,1468.0,gasa,ex,y,sbrkr,1468,0,0,1468,1.0,0.0,2,0,2,1,gd,6,typ,1,gd,attchd,2005.0,fin,2.0,528.0,ta,ta,y,0,102,0,0,216,0,no_fence,none,0,5,2010,wd,normal,,-93.642224,42.051429,241000.0
2351,20,fv,84.0,10440,no_alley_access,reg,lvl,corner,gtl,somerst,norm,1fam,1story,8,5,2007,2007,gable,cemntbd,cemntbd,none,0.0,ex,ta,pconc,gd,ta,mn,unf,0.0,unf,0.0,1574.0,1574.0,gasa,ex,y,sbrkr,1584,0,0,1584,0.0,0.0,2,0,2,1,ex,6,typ,1,gd,attchd,2007.0,fin,2.0,594.0,ta,ta,y,0,256,0,0,0,0,no_fence,none,0,5,2007,new,partial,,-93.643792,42.051377,192375.0
48,20,fv,84.0,11096,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,8,5,2006,2006,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,av,glq,24.0,unf,0.0,1632.0,1656.0,gasa,ex,y,sbrkr,1656,0,0,1656,0.0,0.0,2,0,3,1,gd,7,typ,0,0,attchd,2006.0,rfn,3.0,826.0,ta,ta,y,0,146,0,0,0,0,no_fence,none,0,7,2007,wd,normal,249700.0,-93.643974,42.052269,230237.5
645,20,fv,85.0,9187,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,9,5,2009,2009,gable,cemntbd,cemntbd,stone,162.0,ex,ta,pconc,ex,ta,mn,glq,1121.0,unf,0.0,645.0,1766.0,gasa,ex,y,sbrkr,1766,0,0,1766,1.0,0.0,2,1,2,1,ex,7,typ,1,gd,attchd,2009.0,fin,3.0,478.0,ta,ta,y,195,130,0,0,0,0,no_fence,none,0,10,2009,new,partial,370878.0,-93.648809,42.051717,
1713,20,fv,85.0,10625,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,7,5,2006,2007,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,no,glq,1430.0,unf,0.0,222.0,1652.0,gasa,ex,y,sbrkr,1662,0,0,1662,1.0,0.0,2,0,3,1,ex,8,typ,1,gd,attchd,2006.0,rfn,3.0,711.0,ta,ta,y,168,120,0,0,0,0,no_fence,none,0,3,2009,wd,normal,,-93.640847,42.052122,250000.0
2007,20,fv,85.0,10625,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,8,5,2007,2007,gable,vinylsd,vinylsd,brkface,292.0,gd,ta,pconc,gd,ta,av,unf,0.0,unf,0.0,1660.0,1660.0,gasa,ex,y,sbrkr,1660,0,0,1660,0.0,0.0,2,0,3,1,gd,7,typ,1,gd,attchd,2007.0,fin,3.0,660.0,ta,ta,y,133,120,0,0,0,0,no_fence,none,0,6,2008,wd,normal,,-93.641651,42.052173,250000.0
1707,20,fv,90.0,7993,no_alley_access,ir1,lvl,inside,gtl,somerst,norm,1fam,1story,7,5,2008,2009,gable,vinylsd,vinylsd,none,0.0,gd,ta,pconc,ex,ta,no,unf,0.0,unf,0.0,1436.0,1436.0,gasa,ex,y,sbrkr,1436,0,0,1436,0.0,0.0,2,0,3,1,gd,6,typ,0,0,attchd,2008.0,fin,2.0,529.0,ta,ta,y,0,121,0,0,0,0,no_fence,none,0,10,2009,new,partial,,-93.650417,42.051645,229456.0
1489,20,fv,92.0,9215,no_alley_access,reg,lvl,inside,gtl,somerst,norm,1fam,1story,7,5,2009,2010,hip,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,1218.0,1218.0,gasa,ex,y,sbrkr,1218,0,0,1218,0.0,0.0,2,0,2,1,gd,4,typ,0,0,attchd,2009.0,rfn,2.0,676.0,ta,ta,y,0,136,0,0,0,0,no_fence,none,0,4,2010,new,partial,,-93.649976,42.051827,252678.0
974,20,fv,95.0,11639,no_alley_access,reg,lvl,corner,gtl,somerst,norm,1fam,1story,7,5,2007,2008,gable,cemntbd,cemntbd,none,0.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,1428.0,1428.0,gasa,ex,y,sbrkr,1428,0,0,1428,0.0,0.0,2,0,3,1,gd,6,typ,0,0,attchd,2007.0,fin,2.0,480.0,ta,ta,y,0,120,0,0,0,0,no_fence,none,0,12,2008,new,partial,182000.0,-93.648255,42.050307,270000.0
2352,20,fv,100.0,11824,no_alley_access,ir1,lvl,corner,gtl,somerst,norm,1fam,1story,8,5,2006,2006,gable,vinylsd,vinylsd,brkface,298.0,gd,ta,pconc,gd,ta,av,unf,0.0,unf,0.0,1685.0,1685.0,gasa,ex,y,sbrkr,1685,0,0,1685,0.0,0.0,2,0,2,1,gd,5,typ,1,gd,attchd,2006.0,fin,3.0,658.0,ta,ta,y,112,63,0,0,0,0,no_fence,none,0,4,2007,wd,normal,,-93.642046,42.052267,260450.0
1709,20,fv,112.0,12606,no_alley_access,ir1,lvl,inside,gtl,somerst,norm,1fam,1story,9,5,2007,2008,gable,vinylsd,vinylsd,stone,120.0,gd,ta,pconc,gd,ta,av,unf,0.0,unf,0.0,1530.0,1530.0,gasa,ex,y,sbrkr,1530,0,0,1530,0.0,0.0,2,0,3,1,gd,7,typ,1,gd,attchd,2008.0,rfn,3.0,984.0,ta,ta,y,212,136,0,0,0,0,no_fence,none,0,5,2009,wd,normal,,-93.648275,42.050406,266250.0
413,20,fv,0.0,4403,no_alley_access,ir2,lvl,inside,gtl,somerst,norm,1fam,1story,7,5,2009,2009,gable,metalsd,metalsd,stone,432.0,ex,ta,pconc,ex,ta,av,glq,578.0,unf,0.0,892.0,1470.0,gasa,ex,y,sbrkr,1478,0,0,1478,1.0,0.0,2,1,2,1,gd,7,typ,1,gd,attchd,2009.0,fin,2.0,484.0,ta,ta,y,0,144,0,0,0,0,no_fence,none,0,6,2010,new,partial,222000.0,-93.6468879,42.0471748,196000.0
952,20,rh,60.0,7800,no_alley_access,reg,lvl,corner,gtl,sawyerw,norm,1fam,1story,5,5,1965,1965,gable,vinylsd,vinylsd,none,0.0,ta,ta,cblock,ta,ta,no,blq,641.0,unf,0.0,187.0,828.0,gasa,gd,y,sbrkr,965,0,0,965,1.0,0.0,1,0,3,1,ta,6,typ,0,0,detchd,1979.0,unf,1.0,300.0,ta,ta,y,421,0,0,0,0,0,mnprv,none,0,7,2006,wd,abnorml,119900.0,-93.681407,42.035235,91500.0
342,20,rh,60.0,8400,no_alley_access,reg,lvl,inside,gtl,sawyerw,feedr,1fam,1story,4,4,1950,1950,gable,wd sdng,asbshng,none,0.0,fa,fa,cblock,ta,fa,no,unf,0.0,unf,0.0,721.0,721.0,gasa,gd,y,sbrkr,841,0,0,841,0.0,0.0,1,0,2,1,ta,4,typ,0,0,carport,1950.0,unf,1.0,294.0,ta,ta,n,250,0,24,0,0,0,no_fence,none,0,9,2009,wd,normal,82000.0,-93.6790752,42.0365385,112000.0
1461,20,rh,80.0,11622,no_alley_access,reg,lvl,inside,gtl,names,feedr,1fam,1story,5,6,1961,1961,gable,vinylsd,vinylsd,none,0.0,ta,ta,cblock,ta,ta,no,rec,468.0,lwq,144.0,270.0,882.0,gasa,ta,y,sbrkr,896,0,0,896,0.0,0.0,1,0,2,1,ta,5,typ,0,0,attchd,1961.0,unf,1.0,730.0,ta,ta,y,140,0,0,0,120,0,mnprv,none,0,6,2010,wd,normal,,-93.619756,42.053014,195750.0
1207,20,rh,0.0,8900,no_alley_access,reg,lvl,inside,gtl,sawyerw,norm,1fam,1story,4,4,1966,1966,gable,hdboard,hdboard,none,0.0,ta,ta,cblock,ta,ta,no,rec,1056.0,unf,0.0,0.0,1056.0,gasa,ta,y,sbrkr,1056,0,0,1056,1.0,0.0,1,0,2,1,ta,5,typ,0,0,detchd,1966.0,unf,1.0,384.0,ta,ta,y,0,42,0,0,0,0,mnprv,none,0,11,2006,wd,normal,107000.0,-93.681595,42.035795,119900.0
848,20,rl,36.0,15523,no_alley_access,ir1,lvl,culdsac,gtl,collgcr,norm,1fam,1story,5,6,1972,1972,gable,hdboard,plywood,none,0.0,ta,ta,cblock,ta,ta,av,blq,460.0,unf,0.0,404.0,864.0,gasa,ex,y,sbrkr,864,0,0,864,1.0,0.0,1,0,3,1,ta,5,typ,1,fa,attchd,1972.0,unf,1.0,338.0,ta,ta,y,0,0,0,0,0,0,no_fence,none,0,8,2009,wd,normal,133500.0,-93.683157,42.020666,125950.0
1177,20,rl,37.0,6951,no_alley_access,ir1,lvl,culdsac,gtl,mitchel,norm,1fam,1story,5,5,1984,1985,gable,hdboard,plywood,none,0.0,ta,ta,cblock,ta,ta,no,alq,658.0,unf,0.0,218.0,876.0,gasa,ta,y,sbrkr,923,0,0,923,1.0,0.0,1,0,3,1,ta,5,typ,0,0,attchd,1984.0,unf,1.0,264.0,ta,ta,y,362,0,0,0,0,0,mnprv,none,0,10,2008,wd,normal,119500.0,-93.604761,41.988934,142500.0
1581,20,rl,38.0,15240,no_alley_access,ir1,lvl,fr2,gtl,collgcr,norm,1fam,1story,5,8,1977,2004,gable,cemntbd,cemntbd,none,0.0,gd,gd,cblock,gd,ta,no,glq,198.0,rec,688.0,140.0,1026.0,gasa,ex,y,sbrkr,1026,0,0,1026,1.0,0.0,1,1,3,1,ta,5,typ,0,0,attchd,1977.0,unf,1.0,308.0,ta,ta,y,316,85,0,0,0,0,mnprv,none,0,6,2010,wd,normal,,-93.68773,42.022186,128200.0
1493,20,rl,39.0,15410,no_alley_access,ir1,lvl,culdsac,gtl,sawyer,rrne,1fam,1story,6,6,1974,2002,hip,plywood,plywood,brkcmn,250.0,ta,gd,cblock,ta,ta,gd,blq,126.0,glq,859.0,223.0,1208.0,gasa,ex,y,sbrkr,1494,0,0,1494,1.0,0.0,2,0,3,1,ta,7,typ,2,fa,attchd,1974.0,fin,2.0,461.0,ta,ta,y,296,0,186,0,0,0,gdprv,none,0,4,2010,wd,abnorml,,-93.660672,42.034603,112000.0
2527,20,rl,39.0,16300,no_alley_access,ir1,lvl,culdsac,gtl,collgcr,norm,1fam,1story,5,4,1977,1977,gable,hdboard,hdboard,none,0.0,ta,ta,cblock,gd,ta,av,rec,60.0,blq,417.0,399.0,876.0,gasa,ta,y,sbrkr,907,0,0,907,1.0,0.0,1,0,3,1,ta,5,typ,0,0,attchd,1977.0,rfn,1.0,308.0,ta,ta,y,0,0,0,0,0,0,mnprv,none,0,1,2007,wd,normal,,-93.684837,42.01972,143500.0
207,20,rl,40.0,13673,no_alley_access,ir1,lvl,culdsac,gtl,sawyer,rrae,1fam,1story,5,5,1962,1962,gable,hdboard,hdboard,none,0.0,ta,gd,cblock,ta,ta,no,unf,0.0,unf,0.0,1140.0,1140.0,gasa,ta,y,sbrkr,1696,0,0,1696,0.0,0.0,1,1,3,1,ta,8,min2,1,ta,attchd,1962.0,rfn,1.0,349.0,ta,ta,y,0,30,0,0,0,0,no_fence,none,0,3,2007,wd,normal,143900.0,-93.669552,42.034724,95691.5
2173,20,rl,40.0,14330,no_alley_access,ir1,lvl,culdsac,gtl,collgcr,norm,1fam,1story,5,6,1975,2001,gable,plywood,wd sdng,none,0.0,ta,ta,cblock,ta,ta,no,rec,88.0,alq,596.0,180.0,864.0,gasa,ta,y,sbrkr,1558,0,0,1558,1.0,0.0,2,0,2,1,ta,5,min2,0,0,attchd,1975.0,fin,2.0,440.0,ta,ta,y,140,0,239,0,227,0,no_fence,none,0,8,2008,wd,normal,,-93.6844,42.02107,122000.0
