Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Median_n_Closest_SalePrice
11,20,rl,70.0,11200,pave,no_alley_access,reg,lvl,allpub,inside,gtl,sawyer,norm,norm,1fam,1story,5,5,1965,1965,hip,compshg,hdboard,hdboard,unknown,0.0,ta,ta,cblock,ta,ta,no,rec,906.0,unf,0.0,134.0,1040.0,gasa,ex,y,sbrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,ta,5,typ,0,,detchd,1965.0,unf,1.0,384.0,ta,ta,y,0,0,0,0,0,0,unknown,,unknown,0,2,2008,wd,normal,129500.0,135000.0
12,60,rl,85.0,11924,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,nridght,norm,norm,1fam,2story,9,5,2005,2006,hip,compshg,wdshing,wd shng,stone,286.0,ex,ta,pconc,ex,ta,no,glq,998.0,unf,0.0,177.0,1175.0,gasa,ex,y,sbrkr,1182,1142,0,2324,1.0,0.0,3,0,4,1,ex,11,typ,2,gd,builtin,2005.0,fin,3.0,736.0,ta,ta,y,147,21,0,0,0,0,unknown,,unknown,0,7,2006,new,partial,345000.0,277750.0
13,20,rl,,12968,pave,no_alley_access,ir2,lvl,allpub,inside,gtl,sawyer,norm,norm,1fam,1story,5,6,1962,1962,hip,compshg,hdboard,plywood,unknown,0.0,ta,ta,cblock,ta,ta,no,alq,737.0,unf,0.0,175.0,912.0,gasa,ta,y,sbrkr,912,0,0,912,1.0,0.0,1,0,2,1,ta,4,typ,0,,detchd,1962.0,unf,1.0,352.0,ta,ta,y,140,0,0,0,176,0,unknown,,unknown,0,9,2008,wd,normal,144000.0,132500.0
14,20,rl,91.0,10652,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,1story,7,5,2006,2007,gable,compshg,vinylsd,vinylsd,stone,306.0,gd,ta,pconc,gd,ta,av,unf,0.0,unf,0.0,1494.0,1494.0,gasa,ex,y,sbrkr,1494,0,0,1494,0.0,0.0,2,0,3,1,gd,7,typ,1,gd,attchd,2006.0,rfn,3.0,840.0,ta,ta,y,160,33,0,0,0,0,unknown,,unknown,0,8,2007,new,partial,279500.0,199520.5
15,20,rl,,10920,pave,no_alley_access,ir1,lvl,allpub,corner,gtl,names,norm,norm,1fam,1story,6,5,1960,1960,hip,compshg,metalsd,metalsd,brkface,212.0,ta,ta,cblock,ta,ta,no,blq,733.0,unf,0.0,520.0,1253.0,gasa,ta,y,sbrkr,1253,0,0,1253,1.0,0.0,1,1,2,1,ta,5,typ,1,fa,attchd,1960.0,rfn,1.0,352.0,ta,ta,y,0,213,176,0,0,0,unknown,gdwo,unknown,0,5,2008,wd,normal,157000.0,159500.0
16,45,rm,51.0,6120,pave,no_alley_access,reg,lvl,allpub,corner,gtl,brkside,norm,norm,1fam,1.5unf,7,8,1929,2001,gable,compshg,wd sdng,wd sdng,unknown,0.0,ta,ta,brktil,ta,ta,no,unf,0.0,unf,0.0,832.0,832.0,gasa,ex,y,fusea,854,0,0,854,0.0,0.0,1,0,2,1,ta,5,typ,0,,detchd,1991.0,unf,2.0,576.0,ta,ta,y,48,112,0,0,0,0,unknown,gdprv,unknown,0,7,2007,wd,normal,132000.0,114500.0
17,20,rl,,11241,pave,no_alley_access,ir1,lvl,allpub,culdsac,gtl,names,norm,norm,1fam,1story,6,7,1970,1970,gable,compshg,wd sdng,wd sdng,brkface,180.0,ta,ta,cblock,ta,ta,no,alq,578.0,unf,0.0,426.0,1004.0,gasa,ex,y,sbrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,ta,5,typ,1,ta,attchd,1970.0,fin,2.0,480.0,ta,ta,y,0,0,0,0,0,0,unknown,,shed,700,3,2010,wd,normal,149000.0,141125.0
18,90,rl,72.0,10791,pave,no_alley_access,reg,lvl,allpub,inside,gtl,sawyer,norm,norm,duplex,1story,4,5,1967,1967,gable,compshg,metalsd,metalsd,unknown,0.0,ta,ta,slab,,unknown,no_basement,no_basement,0.0,no_basement,0.0,0.0,0.0,gasa,ta,y,sbrkr,1296,0,0,1296,0.0,0.0,2,0,2,2,ta,6,typ,0,,carport,1967.0,unf,2.0,516.0,ta,ta,y,0,0,0,0,0,0,unknown,,shed,500,10,2006,wd,normal,90000.0,132250.0
19,20,rl,66.0,13695,pave,no_alley_access,reg,lvl,allpub,inside,gtl,sawyerw,rrae,norm,1fam,1story,5,5,2004,2004,gable,compshg,vinylsd,vinylsd,unknown,0.0,ta,ta,pconc,ta,ta,no,glq,646.0,unf,0.0,468.0,1114.0,gasa,ex,y,sbrkr,1114,0,0,1114,1.0,0.0,1,1,3,1,gd,6,typ,0,,detchd,2004.0,unf,2.0,576.0,ta,ta,y,0,102,0,0,0,0,unknown,,unknown,0,6,2008,wd,normal,159000.0,156500.0
20,20,rl,70.0,7560,pave,no_alley_access,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5,6,1958,1965,hip,compshg,brkface,plywood,unknown,0.0,ta,ta,cblock,ta,ta,no,lwq,504.0,unf,0.0,525.0,1029.0,gasa,ta,y,sbrkr,1339,0,0,1339,0.0,0.0,1,0,3,1,ta,6,min1,0,,attchd,1958.0,unf,1.0,294.0,ta,ta,y,0,0,0,0,0,0,unknown,mnprv,unknown,0,5,2009,cod,abnorml,139000.0,134800.0
21,60,rl,101.0,14215,pave,no_alley_access,ir1,lvl,allpub,corner,gtl,nridght,norm,norm,1fam,2story,8,5,2005,2006,gable,compshg,vinylsd,vinylsd,brkface,380.0,gd,ta,pconc,ex,ta,av,unf,0.0,unf,0.0,1158.0,1158.0,gasa,ex,y,sbrkr,1158,1218,0,2376,0.0,0.0,3,1,4,1,gd,9,typ,1,gd,builtin,2005.0,rfn,3.0,853.0,ta,ta,y,240,154,0,0,0,0,unknown,,unknown,0,11,2006,new,partial,325300.0,370125.0
22,45,rm,57.0,7449,pave,grvl,reg,bnk,allpub,inside,gtl,idotrr,norm,norm,1fam,1.5unf,7,7,1930,1950,gable,compshg,wd sdng,wd sdng,unknown,0.0,ta,ta,pconc,ta,ta,no,unf,0.0,unf,0.0,637.0,637.0,gasa,ex,y,fusef,1108,0,0,1108,0.0,0.0,1,0,3,1,gd,6,typ,1,gd,attchd,1930.0,unf,1.0,280.0,ta,ta,n,0,0,205,0,0,0,unknown,gdprv,unknown,0,6,2007,wd,normal,139400.0,119500.0
23,20,rl,75.0,9742,pave,no_alley_access,reg,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,1story,8,5,2002,2002,hip,compshg,vinylsd,vinylsd,brkface,281.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,1777.0,1777.0,gasa,ex,y,sbrkr,1795,0,0,1795,0.0,0.0,2,0,3,1,gd,7,typ,1,gd,attchd,2002.0,rfn,2.0,534.0,ta,ta,y,171,159,0,0,0,0,unknown,,unknown,0,9,2008,wd,normal,230000.0,236000.0
24,120,rm,44.0,4224,pave,no_alley_access,reg,lvl,allpub,inside,gtl,meadowv,norm,norm,twnhse,1story,5,7,1976,1976,gable,compshg,cemntbd,cemntbd,unknown,0.0,ta,ta,pconc,gd,ta,no,glq,840.0,unf,0.0,200.0,1040.0,gasa,ta,y,sbrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,ta,6,typ,1,ta,attchd,1976.0,unf,2.0,572.0,ta,ta,y,100,110,0,0,0,0,unknown,,unknown,0,6,2007,wd,normal,129900.0,115000.0
25,20,rl,,8246,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,sawyer,norm,norm,1fam,1story,5,8,1968,2001,gable,compshg,plywood,plywood,unknown,0.0,ta,gd,cblock,ta,ta,mn,rec,188.0,alq,668.0,204.0,1060.0,gasa,ex,y,sbrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,gd,6,typ,1,ta,attchd,1968.0,unf,1.0,270.0,ta,ta,y,406,90,0,0,0,0,unknown,mnprv,unknown,0,5,2010,wd,normal,154000.0,129000.0
26,20,rl,110.0,14230,pave,no_alley_access,reg,lvl,allpub,corner,gtl,nridght,norm,norm,1fam,1story,8,5,2007,2007,gable,compshg,vinylsd,vinylsd,stone,640.0,gd,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,1566.0,1566.0,gasa,ex,y,sbrkr,1600,0,0,1600,0.0,0.0,2,0,3,1,gd,7,typ,1,gd,attchd,2007.0,rfn,3.0,890.0,ta,ta,y,0,56,0,0,0,0,unknown,,unknown,0,7,2009,wd,normal,256300.0,372402.0
27,20,rl,60.0,7200,pave,no_alley_access,reg,lvl,allpub,corner,gtl,names,norm,norm,1fam,1story,5,7,1951,2000,gable,compshg,wd sdng,wd sdng,unknown,0.0,ta,ta,cblock,ta,ta,mn,blq,234.0,rec,486.0,180.0,900.0,gasa,ta,y,sbrkr,900,0,0,900,0.0,1.0,1,0,3,1,gd,5,typ,0,,detchd,2005.0,unf,2.0,576.0,ta,ta,y,222,32,0,0,0,0,unknown,,unknown,0,5,2010,wd,normal,134800.0,116250.0
28,20,rl,98.0,11478,pave,no_alley_access,reg,lvl,allpub,inside,gtl,nridght,norm,norm,1fam,1story,8,5,2007,2008,gable,compshg,vinylsd,vinylsd,stone,200.0,gd,ta,pconc,ex,ta,no,glq,1218.0,unf,0.0,486.0,1704.0,gasa,ex,y,sbrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,gd,7,typ,1,gd,attchd,2008.0,rfn,3.0,772.0,ta,ta,y,0,50,0,0,0,0,unknown,,unknown,0,5,2010,wd,normal,306000.0,280000.0
29,20,rl,47.0,16321,pave,no_alley_access,ir1,lvl,allpub,culdsac,gtl,names,norm,norm,1fam,1story,5,6,1957,1997,gable,compshg,metalsd,metalsd,unknown,0.0,ta,ta,cblock,ta,ta,gd,blq,1277.0,unf,0.0,207.0,1484.0,gasa,ta,y,sbrkr,1600,0,0,1600,1.0,0.0,1,0,2,1,ta,6,typ,2,gd,attchd,1957.0,rfn,1.0,319.0,ta,ta,y,288,258,0,0,0,0,unknown,,unknown,0,12,2006,wd,normal,207500.0,157250.0
30,30,rm,60.0,6324,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,brkside,feedr,rrnn,1fam,1story,4,6,1927,1950,gable,compshg,metalsd,metalsd,unknown,0.0,ta,ta,brktil,ta,ta,no,unf,0.0,unf,0.0,520.0,520.0,gasa,fa,n,sbrkr,520,0,0,520,0.0,0.0,1,0,1,1,fa,4,typ,0,,detchd,1920.0,unf,1.0,240.0,fa,ta,y,49,0,87,0,0,0,unknown,,unknown,0,5,2008,wd,normal,68500.0,121000.0
31,70,c,50.0,8500,pave,pave,reg,lvl,allpub,inside,gtl,idotrr,feedr,norm,1fam,2story,4,4,1920,1950,gambrel,compshg,brkface,brkface,unknown,0.0,ta,fa,brktil,ta,ta,no,unf,0.0,unf,0.0,649.0,649.0,gasa,ta,n,sbrkr,649,668,0,1317,0.0,0.0,1,0,3,1,ta,6,typ,0,,detchd,1920.0,unf,1.0,250.0,ta,fa,n,0,54,172,0,0,0,unknown,mnprv,unknown,0,7,2008,wd,normal,40000.0,87000.0
32,20,rl,,8544,pave,no_alley_access,ir1,lvl,allpub,culdsac,gtl,sawyer,norm,norm,1fam,1story,5,6,1966,2006,gable,compshg,hdboard,hdboard,unknown,0.0,ta,ta,cblock,ta,ta,no,unf,0.0,unf,0.0,1228.0,1228.0,gasa,gd,y,sbrkr,1228,0,0,1228,0.0,0.0,1,1,3,1,gd,6,typ,0,,attchd,1966.0,unf,1.0,271.0,ta,ta,y,0,65,0,0,0,0,unknown,mnprv,unknown,0,6,2008,wd,normal,149350.0,129000.0
33,20,rl,85.0,11049,pave,no_alley_access,reg,lvl,allpub,corner,gtl,collgcr,norm,norm,1fam,1story,8,5,2007,2007,gable,compshg,vinylsd,vinylsd,unknown,0.0,gd,ta,pconc,ex,ta,av,unf,0.0,unf,0.0,1234.0,1234.0,gasa,ex,y,sbrkr,1234,0,0,1234,0.0,0.0,2,0,3,1,gd,7,typ,0,,attchd,2007.0,rfn,2.0,484.0,ta,ta,y,0,30,0,0,0,0,unknown,,unknown,0,1,2008,wd,normal,179900.0,189000.0
34,20,rl,70.0,10552,pave,no_alley_access,ir1,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5,5,1959,1959,hip,compshg,brkface,brkface,unknown,0.0,ta,ta,cblock,ta,ta,no,rec,1018.0,unf,0.0,380.0,1398.0,gasa,gd,y,sbrkr,1700,0,0,1700,0.0,1.0,1,1,4,1,gd,6,typ,1,gd,attchd,1959.0,rfn,2.0,447.0,ta,ta,y,0,38,0,0,0,0,unknown,,unknown,0,4,2010,wd,normal,165500.0,139200.0
35,120,rl,60.0,7313,pave,no_alley_access,reg,lvl,allpub,inside,gtl,nridght,norm,norm,twnhse,1story,9,5,2005,2005,hip,compshg,metalsd,metalsd,brkface,246.0,ex,ta,pconc,ex,ta,no,glq,1153.0,unf,0.0,408.0,1561.0,gasa,ex,y,sbrkr,1561,0,0,1561,1.0,0.0,2,0,2,1,ex,6,typ,1,gd,attchd,2005.0,fin,2.0,556.0,ta,ta,y,203,47,0,0,0,0,unknown,,unknown,0,8,2007,wd,normal,277500.0,266000.0
36,60,rl,108.0,13418,pave,no_alley_access,reg,lvl,allpub,inside,gtl,nridght,norm,norm,1fam,2story,8,5,2004,2005,gable,compshg,vinylsd,vinylsd,stone,132.0,gd,ta,pconc,ex,ta,av,unf,0.0,unf,0.0,1117.0,1117.0,gasa,ex,y,sbrkr,1132,1320,0,2452,0.0,0.0,3,1,4,1,gd,9,typ,1,gd,builtin,2004.0,fin,3.0,691.0,ta,ta,y,113,32,0,0,0,0,unknown,,unknown,0,9,2006,wd,normal,309000.0,386250.0
37,20,rl,112.0,10859,pave,no_alley_access,reg,lvl,allpub,corner,gtl,collgcr,norm,norm,1fam,1story,5,5,1994,1995,gable,compshg,vinylsd,vinylsd,unknown,0.0,ta,ta,pconc,gd,ta,no,unf,0.0,unf,0.0,1097.0,1097.0,gasa,ex,y,sbrkr,1097,0,0,1097,0.0,0.0,1,1,3,1,ta,6,typ,0,,attchd,1995.0,unf,2.0,672.0,ta,ta,y,392,64,0,0,0,0,unknown,,unknown,0,6,2009,wd,normal,145000.0,197900.0
38,20,rl,74.0,8532,pave,no_alley_access,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5,6,1954,1990,hip,compshg,wd sdng,wd sdng,brkface,650.0,ta,ta,cblock,ta,ta,no,rec,1213.0,unf,0.0,84.0,1297.0,gasa,gd,y,sbrkr,1297,0,0,1297,0.0,1.0,1,0,3,1,ta,5,typ,1,ta,attchd,1954.0,fin,2.0,498.0,ta,ta,y,0,0,0,0,0,0,unknown,,unknown,0,10,2009,wd,normal,153000.0,135480.0
39,20,rl,68.0,7922,pave,no_alley_access,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5,7,1953,2007,gable,compshg,vinylsd,vinylsd,unknown,0.0,ta,gd,cblock,ta,ta,no,glq,731.0,unf,0.0,326.0,1057.0,gasa,ta,y,sbrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,gd,5,typ,0,,detchd,1953.0,unf,1.0,246.0,ta,ta,y,0,52,0,0,0,0,unknown,,unknown,0,1,2010,wd,abnorml,109000.0,135960.0
40,90,rl,65.0,6040,pave,no_alley_access,reg,lvl,allpub,inside,gtl,edwards,norm,norm,duplex,1story,4,5,1955,1955,gable,compshg,asbshng,plywood,unknown,0.0,ta,ta,pconc,,unknown,no_basement,no_basement,0.0,no_basement,0.0,0.0,0.0,gasa,ta,n,fusep,1152,0,0,1152,0.0,0.0,2,0,2,2,fa,6,typ,0,,no_garage,,no_garage,0.0,0.0,,,n,0,0,0,0,0,0,unknown,,unknown,0,6,2008,wd,adjland,82000.0,116500.0
41,20,rl,84.0,8658,pave,no_alley_access,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,6,5,1965,1965,gable,compshg,wd sdng,wd sdng,brkface,101.0,ta,ta,cblock,ta,ta,no,rec,643.0,unf,0.0,445.0,1088.0,gasa,ex,y,sbrkr,1324,0,0,1324,0.0,0.0,2,0,3,1,ta,6,typ,1,ta,attchd,1965.0,rfn,2.0,440.0,ta,ta,y,0,138,0,0,0,0,unknown,gdwo,unknown,0,12,2006,wd,abnorml,160000.0,159950.0
42,20,rl,115.0,16905,pave,no_alley_access,reg,lvl,allpub,inside,gtl,timber,norm,norm,1fam,1story,5,6,1959,1959,gable,compshg,vinylsd,vinylsd,unknown,0.0,ta,gd,cblock,ta,ta,gd,blq,967.0,unf,0.0,383.0,1350.0,gasa,gd,y,sbrkr,1328,0,0,1328,0.0,1.0,1,1,2,1,ta,5,typ,2,gd,attchd,1959.0,rfn,1.0,308.0,ta,ta,p,0,104,0,0,0,0,unknown,,unknown,0,7,2007,wd,normal,170000.0,195750.0
43,85,rl,,9180,pave,no_alley_access,ir1,lvl,allpub,culdsac,gtl,sawyerw,norm,norm,1fam,sfoyer,5,7,1983,1983,gable,compshg,hdboard,hdboard,unknown,0.0,ta,ta,cblock,gd,ta,av,alq,747.0,lwq,93.0,0.0,840.0,gasa,gd,y,sbrkr,884,0,0,884,1.0,0.0,1,0,2,1,gd,5,typ,0,,attchd,1983.0,rfn,2.0,504.0,ta,gd,y,240,0,0,0,0,0,unknown,mnprv,unknown,0,12,2007,wd,normal,144000.0,174500.0
44,20,rl,,9200,pave,no_alley_access,ir1,lvl,allpub,culdsac,gtl,collgcr,norm,norm,1fam,1story,5,6,1975,1980,hip,compshg,vinylsd,vinylsd,unknown,0.0,ta,ta,cblock,gd,ta,av,lwq,280.0,blq,491.0,167.0,938.0,gasa,ta,y,sbrkr,938,0,0,938,1.0,0.0,1,0,3,1,ta,5,typ,0,,detchd,1977.0,unf,1.0,308.0,ta,ta,y,145,0,0,0,0,0,unknown,mnprv,unknown,0,7,2008,wd,normal,130250.0,128500.0
45,20,rl,70.0,7945,pave,no_alley_access,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5,6,1959,1959,gable,compshg,brkface,wd sdng,unknown,0.0,ta,ta,cblock,ta,ta,no,alq,179.0,blq,506.0,465.0,1150.0,gasa,ex,y,fusea,1150,0,0,1150,1.0,0.0,1,0,3,1,ta,6,typ,0,,attchd,1959.0,rfn,1.0,300.0,ta,ta,y,0,0,0,0,0,0,unknown,,unknown,0,5,2006,wd,normal,141000.0,134650.0
46,120,rl,61.0,7658,pave,no_alley_access,reg,lvl,allpub,inside,gtl,nridght,norm,norm,twnhse,1story,9,5,2005,2005,hip,compshg,metalsd,metalsd,brkface,412.0,ex,ta,pconc,ex,ta,no,glq,456.0,unf,0.0,1296.0,1752.0,gasa,ex,y,sbrkr,1752,0,0,1752,1.0,0.0,2,0,2,1,ex,6,typ,1,gd,attchd,2005.0,rfn,2.0,576.0,ta,ta,y,196,82,0,0,0,0,unknown,,unknown,0,2,2010,wd,normal,319900.0,275750.0
47,50,rl,48.0,12822,pave,no_alley_access,ir1,lvl,allpub,culdsac,gtl,mitchel,norm,norm,1fam,1.5fin,7,5,2003,2003,gable,compshg,vinylsd,vinylsd,unknown,0.0,gd,ta,pconc,ex,ta,no,glq,1351.0,unf,0.0,83.0,1434.0,gasa,ex,y,sbrkr,1518,631,0,2149,1.0,0.0,1,1,1,1,gd,6,typ,1,ex,attchd,2003.0,rfn,2.0,670.0,ta,ta,y,168,43,0,0,198,0,unknown,,unknown,0,8,2009,wd,abnorml,239686.0,171000.0
48,20,fv,84.0,11096,pave,no_alley_access,reg,lvl,allpub,inside,gtl,somerst,norm,norm,1fam,1story,8,5,2006,2006,gable,compshg,vinylsd,vinylsd,unknown,0.0,gd,ta,pconc,gd,ta,av,glq,24.0,unf,0.0,1632.0,1656.0,gasa,ex,y,sbrkr,1656,0,0,1656,0.0,0.0,2,0,3,1,gd,7,typ,0,,attchd,2006.0,rfn,3.0,826.0,ta,ta,y,0,146,0,0,0,0,unknown,,unknown,0,7,2007,wd,normal,249700.0,227287.5
